code;municipal;zone;section;name;census;abstentions;v_cast;v_invalid;v_valid;v_white
1;ABAIGAR;1;1;U;77.0;19;58.0;0;58;2
2;ABARZUZA;1;1;U;452.0;227;225.0;1;224;0
3;ABAURREGAINA / ABAURREA ALTA;1;1;U;155.0;43;112.0;5;107;4
4;ABAURREPEA / ABAURREA BAJA;1;1;U;44.0;14;30.0;0;30;1
5;ABERIN;1;1;U;305.0;140;165.0;2;163;2
6;ABLITAS;1;1;U;505.0;122;383.0;2;381;5
6;ABLITAS;2;1;A;737.0;150;587.0;4;583;6
6;ABLITAS;2;1;B;702.0;124;578.0;3;575;18
7;ADIOS;1;1;U;114.0;27;87.0;2;85;0
8;AGUILAR DE CODES;1;1;U;99.0;43;56.0;0;56;0
9;AIBAR / OIBAR;1;1;A;406.0;130;276.0;0;276;8
9;AIBAR / OIBAR;1;1;B;381.0;108;273.0;2;271;3
10;ALTSASU / ALSASUA;1;1;A;709.0;230;479.0;1;478;12
10;ALTSASU / ALSASUA;1;1;B;711.0;249;462.0;4;458;5
10;ALTSASU / ALSASUA;1;2;A;475.0;178;297.0;3;294;9
10;ALTSASU / ALSASUA;1;2;B;515.0;198;317.0;11;306;8
10;ALTSASU / ALSASUA;2;1;A;521.0;180;341.0;5;336;9
10;ALTSASU / ALSASUA;2;1;B;526.0;154;372.0;9;363;9
10;ALTSASU / ALSASUA;2;2;A;523.0;185;338.0;9;329;1
10;ALTSASU / ALSASUA;2;2;B;531.0;201;330.0;9;321;6
10;ALTSASU / ALSASUA;2;2;C;517.0;197;320.0;8;312;7
10;ALTSASU / ALSASUA;2;3;U;779.0;336;443.0;10;433;4
11;ALLIN;1;1;A;371.0;151;220.0;0;220;6
11;ALLIN;1;1;B;368.0;129;239.0;1;238;6
12;ALLO;1;1;A;458.0;118;340.0;7;333;6
12;ALLO;1;1;B;478.0;109;369.0;3;366;7
13;AMESCOA BAJA;1;1;A;361.0;171;190.0;4;186;6
13;AMESCOA BAJA;1;1;B;365.0;186;179.0;3;176;4
14;ANCIN;1;1;U;261.0;103;158.0;0;158;3
15;ANDOSILLA;1;1;A;423.0;117;306.0;1;305;6
15;ANDOSILLA;1;1;B;494.0;154;340.0;6;334;5
15;ANDOSILLA;2;1;A;578.0;185;393.0;5;388;9
15;ANDOSILLA;2;1;B;597.0;133;464.0;1;463;18
16;ANSOAIN;1;1;A;756.0;325;431.0;1;430;8
16;ANSOAIN;1;1;B;823.0;367;456.0;2;454;10
16;ANSOAIN;1;2;A;770.0;314;456.0;6;450;11
16;ANSOAIN;1;2;B;893.0;369;524.0;2;522;15
